"date","title","url","likes","dislikes","recommendationsToOthers","businessProplemsAndSolutions","stars"
"March 13, 2018May 31, 2017","""Great system, terrible UI""","https://www.g2crowd.com/products/cision/reviews/cision-review-301241",,,,,"4"
"July 23, 2018","""The standard for media contact research and list building, with room for improvement""","https://www.g2crowd.com/products/cision/reviews/cision-review-796406","My firm uses Cision every day for gleaning information on media professionals. With teams pitching media every day, Cision is a tool that's essential for identifying information about relevant outlets, finding the relevant contacts, their locations, and learning more about what they're writing about. Cision is also useful when we're researching a contact or a new media outlet, and we can trust the information in the Cision media database.","While we understand the challenge of verifying contact information, it's not always up to date. With an always-growing media landscape, and with the frequency of job changes in the media, Cision may be a good starting point, but users still have to relay on their research expertise to execute successful media relations outreach with the Cision software.",,,"4"
"July 18, 2018","""A Great Platform for Connecting You to Members of the Media""","https://www.g2crowd.com/products/cision/reviews/cision-review-783029","Cision is an easy to navigate and powerful tool that makes connecting to influential members of the media easy. I have used the company for almost four years now. I implemented it at the last two jobs I've held, and I feel that they give more bang for the buck than their competitors, hands down.","Sometimes, their research team seems slow (but this is getting better) in updating media shifts. Also, it can be frustrating when that one member of the media you really want to find isn't in their database.","I first started using Cision when I worked for Lincoln Center for the Performing Arts. I found it to be an invaluable tool. When I went to DG+CO, I convinced them to switch from Meltwater to Cision, and my entire team found the product to be superior. At my current company I am the first in-house publicist they have had, so I requested Cision for my needs here and was able to obtain it. In the four years I have been using Cision, it has only gotten more powerful and more reliable.",,"4.5"
"June 22, 2018","""Cision is vital! ""","https://www.g2crowd.com/products/cision/reviews/cision-review-336999","I love the ease and user friendliness of Cision. I've used other similar products in the past and we've stuck with Cision for a few years now. I greatly appreciate the tagging system and ability to pull reports quickly. I really like the auto tagging feature where I can keep track of my campaigns or crises easily and have reports immediately for my supervisor/client. ","It's an investment, which isn't a problem for larger companies, but can be prohibitive for smaller companies. In addition, sometimes it's difficult to get nitty gritty data.  I wish some features were included in a general cost, rather than being a la carte.  ","Look into multiple platforms and see how their reporting/analytics compares for what you are specifically looking for in terms of reports. ",,"5"
"May 19, 2018","""Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-706468","I like that Cision has multiple categories so you can narrow down exactly what you are searching for by industry, location, specific company, or a journalist by name. It also makes it easier to find someone who writes about a specific topic, like if you want to find someone at Buzzfeed to write a story about your client that is a restaurant, it narrows down Buzzfeed employees into categories like food, entertainment, culture, and politics. ","I don't like that if you misspell a name slightly wrong, for example you don't put an apostrophe in somebody's last name, you will not be able to find that person. This can be tedious because then you have to search several times to find a person. ","Cision is definitely a beneficial tool for PR firms and anyone else who wants to contact journalists, reporters, or anyone in the media industry. It saves a lot of time from manually searching on Google for contact information, especially since a lot of people don't publicly release that information. ",,"5"
"May 10, 2018","""It's not the end all be all""","https://www.g2crowd.com/products/cision/reviews/cision-review-708156","Cision is a fantastic option for jumpstarting a search; if I need to know what publications exist for a specific beat, this tool serves as a proper resource. General inquiries are where Cision software thrives. Larger publications and non-trades seem to be the best fits for accurate targeting. When drawing closer to the trade publications, things get a bit messy and at times, we end of pitching irrelevant info to reporters. ","More times than not we only uncover a bunch of non-pr contacts who either switched positions or beats. The more specific the reporter beat, the higher the likelihood that there's a mistake. In theory this could be the ultimte tool, but it lacks timeliness.","Take the contacts with a grain of salt and make sure that you're doing your own research as well. Cision is not the end all be all of media targeting. ",,"3"
"January  6, 2018","""Pr essential""","https://www.g2crowd.com/products/cision/reviews/cision-review-519923","I signed up to Cision quite accidentally but soon it turned into an essential tool for my job. it's an asset. I was able to do fam trips and write one of a kind reportages. I have been invited to events I would never imagine. It's like to be in comfort zone, with Cision you know that you don't have to go crazy to find contacts, someone will do it for you. So when I see in my inbox something unusual I know there is Cision behind. I recommend to all my colleagues to contact someone at Cision and ask to be added to their press list. They are also kind and they contact you if they see something is not right in your profile. Can you ask for more? don't forget that it is meant to save time and provide information that would otherwise only be available to those that have developed personal relationships with those journalists. Cision is the best out there. It's an investment that all Pr should do.  As someone who is in the younger or even older, crowd, this is useful to me because when I started, I was unsure about how to reach who I needed to. Helped me immensely! Again don't think twice and go for Cision.","nothing to complain, never had any issues","it's a must have for journalists ",,"5"
"January  5, 2018","""New Improved(?) Cision""","https://www.g2crowd.com/products/cision/reviews/cision-review-544501","I like Cision because it gives users a comprehensive database with top-tier, trade, blog and international outlet insights. They do a pretty good job at updating the webiste and I like that the new version gives more background on how to pitch/contact reporters. ","Okay... I am very used to the old Cision, which was a million times easier to get the email/number of a contact without going to a new page. So I don't like this two-step process. I also don't like that they have now separated a lot of the outlets into individual bureaus. Before I could look up Fortune and get Fortune's bureaus, international and online reporters in one line. Now I need to download them separately. They have also removed some of the filters we used to be able to use, and that is also frustrating. ","If you are new to the program you will like it a lot. If you have used it in the past and will restart using it, be aware that the changes they have made make the program less user-friendly. ",,"4"
"December 21, 2017","""Great database, but not always up to date""","https://www.g2crowd.com/products/cision/reviews/cision-review-325414","I use Cision for its media database and press monitoring. It's a great place to start when building a comprehensive media list, complete with contact information and social profiles. I love that the reporting shows media impressions, PR values, and gives many options for fields to include. ","Many times, the data is not completely up to date, or some press that I've worked with are not in the database at all. It can be hard to track moves or new writers. Additionally, the press reports are great but not as thorough as a search on google. I love seeing the PR values, but they sometimes seem so exaggerated it's sometimes hard knowing what is fact. ","Cision is one of the most complete databases out there. However, some media contacts can be out of date - which I know they are working on making that more in-the-moment. Also, I love press monitoring, but not all of my actual earned coverage will show up! ",,"4"
"October 19, 2017","""Cision - Searching for Contacts Made Easy ""","https://www.g2crowd.com/products/cision/reviews/cision-review-349559","Cision is great when pulling large contact lists of reporters, editors etc. It makes it easy to contact specific people and search for publications. It has narrowing search features which help get the right person. I also like how you can export the contact list as an excel sheet which makes the process a lot easier since that is usually the next step in making a media list. ","The biggest problem I have with Cision is that it only allows one user at a time to use the program. At an office focused on media and communication, it is imperative to use Cision on most projects, so when only one person is able to log in, it causes problems and slows down the process. Most of the time, colleagues kick each other out in the person mid-search. This loses important searches and makes it very difficult to work efficiently when researching. ","I recommend Cision when you need to send out large press releases. It's also great when you need to narrow searches by publication topic, contact topic etc. ",,"4.5"
"April 26, 2018","""Cision: For Media Monitoring and Outreach""","https://www.g2crowd.com/products/cision/reviews/cision-review-690285","Having the articles and coverage in the same place as the database is essential. This efficiency results in better media interaction.","Setting up filters and dialing in key words to achieve better coverage can be time consuming. Also, some coverage is better of the printed publications. There are some limitations with content behind paywall too - even for publications that are ""included"" in your account's coverage.","Make sure you are comfortable with the range of coverage and that the print version is the primary coverage zone. There can be additional charges to include some of the major dailies on top of the package fees.",,"4"
"December 19, 2017","""Easy Platform, Great for Distribution, Fun Community""","https://www.g2crowd.com/products/cision/reviews/cision-review-506796","Press release distribution down the wire is very simple and straightforward, Can quickly and easily build reports in Excel format or by dashboard with great charts for your presentations. Cision City is the community platform where you can participate in discussions, ask questions and complete fun challenges for prizes. Very responsive and quick Customer Care.","They are still working out some small issues on the new platform in terms of reporting, such as building very specific reports - you can still get them done, just takes a few extra steps.","Excellent platform for press release distribution and reporting. Haven't touched the social aspect, but definitely looking into it.",,"4"
